File_Code,Title,Authors,Year,Journal,DOI,OA_URL,MD5_Hash
OA_KW6_011,EEG-based emotion recognition using graph convolutional neural network with dual attention mechanism,"Wei Chen, Yuan Liao, Rui Dai et al.",2024,Frontiers in Computational Neuroscience,10.3389/fncom.2024.1416494,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2024.1416494/pdf,0c219f509f4144033d3fefa59ef2e6a3
OA_KW6_012,DAGAM: a domain adversarial graph attention model for subject-independent EEG-based emotion recognition,"Tao Xu, Wang Dang, Jiabao Wang et al.",2022,Journal of Neural Engineering,10.1088/1741-2552/acae06,https://arxiv.org/pdf/2202.12948,3508829abd4eef270852c36d37a52879
OA_KW6_013,Zero-Shot Neural Priors for Generalizable Cross-Subject and Cross-Task EEG Decoding,"Baimam Boukar Jean Jacques, Brandone Fonya, Nchofon Tagha Ghogomu et al.",2026,arXiv Preprint,10.48550/arXiv.2606.23706v2,https://arxiv.org/pdf/2606.23706v2.pdf,e9c5568ed8c227bfc054dd0175e44563
OA_KW6_014,EEG-Bench: A Benchmark for EEG Foundation Models in Clinical Applications,"Ard Kastrati, Josua Bürki, Jonas Lauer et al.",2025,arXiv Preprint,10.48550/arXiv.2512.08959v1,https://arxiv.org/pdf/2512.08959v1.pdf,39dd3e20d74c281c2db7167c0d188ce0
OA_KW6_015,EEG-AS: Instance-Level Foundation Model Selection for EEG Foundation Models via Behavior Reconstruction,"Yunzhen Zhang, Ruoxi Piao, Hasan Onur Keles et al.",2026,arXiv Preprint,10.48550/arXiv.2609.00653v1,https://arxiv.org/pdf/2609.00653v1.pdf,7fd74b85cc7dc98b6a509f587c7a17ae
OA_KW6_016,OmniEEG-Bench: A Standardized Evaluation Benchmark for EEG Foundation Models,"Ziling Lu, Zongsheng Li, Xinke Shen et al.",2026,arXiv Preprint,10.48550/arXiv.2606.00815v1,https://arxiv.org/pdf/2606.00815v1.pdf,dbb3379686fbacacb81d4206052c3619
OA_KW6_017,EEG-EditBench: Probing Visual Information in EEG-Image Retrieval Models with Controlled Image Edits,"Kaifan Zhang, Lihuo He, Yuqi Ji et al.",2026,arXiv Preprint,10.48550/arXiv.2607.27857v1,https://arxiv.org/pdf/2607.27857v1.pdf,fea813d5c66173cdfb5bb218fc46df9e
OA_KW6_018,The applied principles of EEG analysis methods in neuroscience and clinical neurology,"Hao Zhang, Qing-Qi Zhou, He Chen et al.",2023,Military Medical Research,10.1186/s40779-023-00502-7,https://mmrjournal.biomedcentral.com/counter/pdf/10.1186/s40779-023-00502-7,871fc1b7b7bc27107312258d6932a67b
OA_KW6_019,EEG-MSAF: An Interpretable Microstate Framework uncovers Default-Mode Decoherence in Early Neurodegeneration,"Mohammad Mehedi Hasan, Pedro G. Lind, Hernando Ombao et al.",2025,arXiv Preprint,10.48550/arXiv.2509.02568v1,https://arxiv.org/pdf/2509.02568v1.pdf,de6f3556f15a29b3563d9c0a4df4e6c0
OA_KW6_020,Neuro-GPT: Towards A Foundation Model for EEG,"Wenhui Cui, Woojae Jeong, Philipp Thölke et al.",2023,arXiv Preprint,10.48550/arXiv.2311.03764v4,https://arxiv.org/pdf/2311.03764v4.pdf,eed0dd5669c95c7077923b786c05826d
