ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW4_027,2024,"Multimodal Emotion Recognition Using Visual, Vocal and Physiological Signals: A Review","Gustave Udahemuka, Karim Djouani, Anish Kurien",Applied Sciences,74,https://doi.org/10.3390/app14178071,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115
OA_KW4_028,2023,"Approaches, Applications, and Challenges in Physiological Emotion Recognition—A Tutorial Overview","Yekta Said Can, Bhargavi Mahesh, Elisabeth André",Proceedings of the IEEE,73,https://doi.org/10.1109/jproc.2023.3286445,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf
OA_KW4_029,2012,The brain basis of emotion: A meta-analytic review,"Kristen A. Lindquist, Tor D. Wager, Hedy Kober, Eliza Bliss‐Moreau, Lisa Feldman Barrett",Behavioral and Brain Sciences,2370,https://doi.org/10.1017/s0140525x11000446,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/80F95F093305C76BA2C66BBA48D4BC8A/S0140525X11000446a.pdf/div-class-title-the-brain-basis-of-emotion-a-meta-analytic-review-div.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/80F95F093305C76BA2C66BBA48D4BC8A/S0140525X11000446a.pdf/div-class-title-the-brain-basis-of-emotion-a-meta-analytic-review-div.pdf
OA_KW4_030,2019,Deep learning for electroencephalogram (EEG) classification tasks: a review,"Alexander Craik, Yongtian He, José L. Contreras-Vidal",Journal of Neural Engineering,1776,https://doi.org/10.1088/1741-2552/ab0ab5,https://iopscience.iop.org/article/10.1088/1741-2552/ab0ab5/pdf,https://iopscience.iop.org/article/10.1088/1741-2552/ab0ab5/pdf
OA_KW4_031,2022,EEG Conformer: Convolutional Transformer for EEG Decoding and Visualization,"Yonghao Song, Qingqing Zheng, Bingchuan Liu, Xiaorong Gao",IEEE Transactions on Neural Systems and Rehabilitation Engineering,1053,https://doi.org/10.1109/tnsre.2022.3230250,https://ieeexplore.ieee.org/ielx7/7333/10031624/09991178.pdf,https://ieeexplore.ieee.org/ielx7/7333/10031624/09991178.pdf
OA_KW4_032,2008,Music listening enhances cognitive recovery and mood after middle cerebral artery stroke,"Teppo Särkämö, Mari Tervaniemi, S. Laitinen, Anita Forsblom, Seppo Soinila",Brain,906,https://doi.org/10.1093/brain/awn013,https://academic.oup.com/brain/article-pdf/131/3/866/907374/awn013.pdf,https://academic.oup.com/brain/article-pdf/131/3/866/907374/awn013.pdf
OA_KW4_033,2020,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,"Peixiang Zhong, Di Wang, Chunyan Miao",IEEE Transactions on Affective Computing,896,https://doi.org/10.1109/taffc.2020.2994159,https://dr.ntu.edu.sg/bitstream/10356/152723/2/EEG-Based_Emotion_Recognition_Using_Regularized_Graph_Neural_Networks.pdf,
OA_KW4_034,2020,"Virtual Reality with 360-Video Storytelling in Cultural Heritage: Study of Presence, Engagement, and Immersion","Filip Škola, Selma Rizvić, Marco Cozza, Loris Barbieri, Fabio Bruno",Sensors,174,https://doi.org/10.3390/s20205851,https://www.mdpi.com/1424-8220/20/20/5851/pdf?version=1603166136,https://www.mdpi.com/1424-8220/20/20/5851/pdf?version=1603166136
OA_KW4_035,2022,Automatic autism spectrum disorder detection using artificial intelligence methods with MRI neuroimaging: A review,"Parisa Moridian, Navid Ghassemi, Mahboobeh Jafari, Salam Salloum‐Asfar, Delaram Sadeghi",Frontiers in Molecular Neuroscience,124,https://doi.org/10.3389/fnmol.2022.999605,https://doi.org/10.3389/fnmol.2022.999605,
OA_KW4_036,2024,CTNet: a convolutional transformer network for EEG-based motor imagery classification,"Wei Zhao, Xiaolu Jiang, Baocan Zhang, Shixiao Xiao, Sujun Weng",Scientific Reports,172,https://doi.org/10.1038/s41598-024-71118-7,https://www.nature.com/articles/s41598-024-71118-7.pdf,https://www.nature.com/articles/s41598-024-71118-7.pdf
OA_KW4_037,2023,A paradigm shift in translational psychiatry through rodent neuroethology,"Yair Shemesh, Alon Chen",Molecular Psychiatry,132,https://doi.org/10.1038/s41380-022-01913-z,https://www.nature.com/articles/s41380-022-01913-z.pdf,https://www.nature.com/articles/s41380-022-01913-z.pdf
OA_KW4_038,2023,A Spiking Neural Network With Adaptive Graph Convolution and LSTM for EEG-Based Brain-Computer Interfaces,"Peiliang Gong, Pengpai Wang, Yueying Zhou, Daoqiang Zhang",IEEE Transactions on Neural Systems and Rehabilitation Engineering,105,https://doi.org/10.1109/tnsre.2023.3246989,https://ieeexplore.ieee.org/ielx7/7333/4359219/10049464.pdf,https://ieeexplore.ieee.org/ielx7/7333/4359219/10049464.pdf
OA_KW4_039,2025,"Transformers in EEG Analysis: A Review of Architectures and Applications in Motor Imagery, Seizure, and Emotion Classification","Elnaz Vafaei, Mohammad Hosseini",Sensors,104,https://doi.org/10.3390/s25051293,https://www.mdpi.com/1424-8220/25/5/1293/pdf?version=1740100056,https://www.mdpi.com/1424-8220/25/5/1293/pdf?version=1740100056
OA_KW4_040,2023,Multi-view domain-adaptive representation learning for EEG-based emotion recognition,"Chao Li, Ning Bian, Ziping Zhao, Haishuai Wang, Björn W. Schuller",Information Fusion,89,https://doi.org/10.1016/j.inffus.2023.102156,https://opus.bibliothek.uni-augsburg.de/opus4/files/109640/109640.pdf,https://opus.bibliothek.uni-augsburg.de/opus4/files/109640/109640.pdf
