ID,Year,Title,Authors,Venue,Citations,DOI,OA_URL,PDF_URL
OA_KW6_011,2023,Transformer-Based Self-Supervised Multimodal Representation Learning for Wearable Emotion Recognition,"Yujin Wu, Mohamed Daoudi, Ali Amad",IEEE Transactions on Affective Computing,106,https://doi.org/10.1109/taffc.2023.3263907,https://hal.science/hal-04051433/document,
OA_KW6_012,2024,Review of Stress Detection Methods Using Wearable Sensors,"Georgios V. Taskasaplidis, Dimitris A. Fotiadis, Panagiotis D. Bamidis",IEEE Access,105,https://doi.org/10.1109/access.2024.3373010,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10458924.pdf
OA_KW6_013,2023,Stress and Workload Assessment in Aviation—A Narrative Review,"Giulia Masi, Gianluca Amprimo, Claudia Ferraris, Lorenzo Priano",Sensors,97,https://doi.org/10.3390/s23073556,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790,https://www.mdpi.com/1424-8220/23/7/3556/pdf?version=1680511790
OA_KW6_014,2024,Machine learning for human emotion recognition: a comprehensive review,"Eman M. G. Younis, Someya Mohsen, Essam H. Houssein, Osman Ali Sadek Ibrahim",Neural Computing and Applications,75,https://doi.org/10.1007/s00521-024-09426-2,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf,https://link.springer.com/content/pdf/10.1007/s00521-024-09426-2.pdf
OA_KW6_015,2024,Epileptic seizure prediction via multidimensional transformer and recurrent neural network fusion,"Rong Zhu, Wen-Xin Pan, Jin‐Xing Liu, Junliang Shang",Journal of Translational Medicine,74,https://doi.org/10.1186/s12967-024-05678-7,https://link.springer.com/content/pdf/10.1186/s12967-024-05678-7.pdf,https://link.springer.com/content/pdf/10.1186/s12967-024-05678-7.pdf
OA_KW6_016,2024,"Multimodal Emotion Recognition Using Visual, Vocal and Physiological Signals: A Review","Gustave Udahemuka, Karim Djouani, Anish Kurien",Applied Sciences,74,https://doi.org/10.3390/app14178071,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115,https://www.mdpi.com/2076-3417/14/17/8071/pdf?version=1726193115
OA_KW6_017,2023,"Approaches, Applications, and Challenges in Physiological Emotion Recognition—A Tutorial Overview","Yekta Said Can, Bhargavi Mahesh, Elisabeth André",Proceedings of the IEEE,73,https://doi.org/10.1109/jproc.2023.3286445,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf,https://ieeexplore.ieee.org/ielx7/5/4357935/10171229.pdf
OA_KW6_018,2024,Machine Learning and Digital Biomarkers Can Detect Early Stages of Neurodegenerative Diseases,"Artur Chudzik, Albert Śledzianowski, Andrzej W. Przybyszewski",Sensors,119,https://doi.org/10.3390/s24051572,https://www.mdpi.com/1424-8220/24/5/1572/pdf?version=1709194166,https://www.mdpi.com/1424-8220/24/5/1572/pdf?version=1709194166
OA_KW6_019,2024,Workplace Well-Being in Industry 5.0: A Worker-Centered Systematic Review,"Francesca Giada Antonaci, Elena Carlotta Olivetti, Federica Marcolin, Ivonne Angélica Castiblanco Jiménez, Benoît Eynard",Sensors,73,https://doi.org/10.3390/s24175473,https://www.mdpi.com/1424-8220/24/17/5473/pdf?version=1724419879,https://www.mdpi.com/1424-8220/24/17/5473/pdf?version=1724419879
OA_KW6_020,2024,"Multimodal Mental Health Digital Biomarker Analysis From Remote Interviews Using Facial, Vocal, Linguistic, and Cardiovascular Patterns","Zifan Jiang, Salman Seyedi, Emily Griner, Ahmed Abbasi, Ali Bahrami Rad",IEEE Journal of Biomedical and Health Informatics,52,https://doi.org/10.1109/jbhi.2024.3352075,https://pmc.ncbi.nlm.nih.gov/articles/PMC10986761/pdf/nihms-1972914.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10986761/pdf/nihms-1972914.pdf
OA_KW6_021,2024,"A Systematic Literature Review of Modalities, Trends, and Limitations in Emotion Recognition, Affective Computing, and Sentiment Analysis","Rosa A. García-Hernández, Huizilopoztli Luna-García, José M. Celaya-Padilla, Alejandra García-Hernández, Luis C. Reveles-Gómez",Applied Sciences,45,https://doi.org/10.3390/app14167165,https://www.mdpi.com/2076-3417/14/16/7165/pdf?version=1723708768,https://www.mdpi.com/2076-3417/14/16/7165/pdf?version=1723708768
OA_KW6_022,2023,Multimodal Adaptive Emotion Transformer with Flexible Modality Inputs on A Novel Dataset with Continuous Labels,"Wei-Bang Jiang, Xuan-Hao Liu, Wei‐Long Zheng, Bao‐Liang Lu",Open Access Journal,43,https://doi.org/10.1145/3581783.3613797,https://dl.acm.org/doi/pdf/10.1145/3581783.3613797,https://dl.acm.org/doi/pdf/10.1145/3581783.3613797
OA_KW6_023,2024,DMMR: Cross-Subject Domain Generalization for EEG-Based Emotion Recognition via Denoising Mixed Mutual Reconstruction,"Yiming Wang, Bin Zhang, Yujiao Tang",Proceedings of the AAAI Conference on Artificial Intelligence,41,https://doi.org/10.1609/aaai.v38i1.27819,https://ojs.aaai.org/index.php/AAAI/article/download/27819/27668,https://ojs.aaai.org/index.php/AAAI/article/download/27819/27668
OA_KW6_024,2023,EEG driving fatigue detection based on log-Mel spectrogram and convolutional recurrent neural networks,"Dongrui Gao, Xue Tang, Manqing Wan, Huang Guo, Yongqing Zhang",Frontiers in Neuroscience,39,https://doi.org/10.3389/fnins.2023.1136609,https://www.frontiersin.org/articles/10.3389/fnins.2023.1136609/pdf,https://www.frontiersin.org/articles/10.3389/fnins.2023.1136609/pdf
OA_KW6_025,2024,Multi-Scale Masked Autoencoders for Cross-Session Emotion Recognition,"Miaoqi Pang, Hongtao Wang, Jiayang Huang, Chi‐Man Vong, Zhiqiang Zeng",IEEE Transactions on Neural Systems and Rehabilitation Engineering,37,https://doi.org/10.1109/tnsre.2024.3389037,https://ieeexplore.ieee.org/ielx7/7333/4359219/10500357.pdf,https://ieeexplore.ieee.org/ielx7/7333/4359219/10500357.pdf
OA_KW6_026,2023,ASTDF-Net: Attention-Based Spatial-Temporal Dual-Stream Fusion Network for EEG-Based Emotion Recognition,"Peiliang Gong, Ziyu Jia, Pengpai Wang, Yueying Zhou, Daoqiang Zhang",Open Access Journal,37,https://doi.org/10.1145/3581783.3612208,https://dl.acm.org/doi/pdf/10.1145/3581783.3612208,https://dl.acm.org/doi/pdf/10.1145/3581783.3612208
OA_KW6_027,2023,EEG-based investigation of effects of mindfulness meditation training on state and trait by deep learning and traditional machine learning,"Baoxiang Shang, Feiyan Duan, Ruiqi Fu, Junling Gao, Hinhung Sik",Frontiers in Human Neuroscience,29,https://doi.org/10.3389/fnhum.2023.1033420,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1033420/pdf,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1033420/pdf
OA_KW6_028,2024,Harnessing Few-Shot Learning for EEG signal classification: a survey of state-of-the-art techniques and future directions,"Chirag Ahuja, Divyashikha Sethia",Frontiers in Human Neuroscience,28,https://doi.org/10.3389/fnhum.2024.1421922,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1421922/pdf,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1421922/pdf
OA_KW6_029,2025,Emotionally adaptive support: a narrative review of affective computing for mental health,"Michelle Schlicher, Yupei Li, Sunil Munthumoduku Krishna Murthy, Qiyang Sun, Björn W. Schuller",Frontiers in Digital Health,26,https://doi.org/10.3389/fdgth.2025.1657031,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1657031/pdf,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1657031/pdf
OA_KW6_030,2024,Emotion Recognition Using EEG Signals and Audiovisual Features with Contrastive Learning,"Ju-Hwan Lee, Jin Young Kim, Hyoung‐Gook Kim",Bioengineering,24,https://doi.org/10.3390/bioengineering11100997,https://www.mdpi.com/2306-5354/11/10/997/pdf?version=1728367277,https://www.mdpi.com/2306-5354/11/10/997/pdf?version=1728367277
