paper_code,title,authors,year,journal,doi,file_name,md5_hash
OA_KW6_060,Leveraging a Foundation Model for the EEG-Based Diagnosis of Alzheimer's Disease,Maggie Lin; Chung-Lin Hou; Tzyy-Ping Jung,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.27719v1,OA_KW6_060.pdf,b68b720808c21decd26b251e1a0e6b47
OA_KW6_061,Parameter-Efficient Self-Supervised Adaptation for EEG-FM under Fixed Computational Budgets,Meghal Dani; Stefanie Liebe,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.24727v1,OA_KW6_061.pdf,704a1eeb90aec1f5d129d27dd84e3a43
OA_KW6_062,"Taming foundation model with invariance-oriented pre-training for broad-spectrum EEG analysis across signal-level, brain-state, and brain-health tasks",Yulong Dou; Han Wu; Guo Chen; Fangmao Ju,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.24597v1,OA_KW6_062.pdf,f276f811ca3da24b7e5b785e791906ea
OA_KW6_063,ReMAP: Self-supervised learning to unveil brain representations and vulnerability,Jade Perdereau; Virginie Loison; Kanssa El Ayeb; Louis Gervais,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.22042v1,OA_KW6_063.pdf,8c146c2c91288b0c41574fc3225f1140
OA_KW6_064,Comparative Analysis of State-of-the-Art Foundation Models for Sleep Analysis Under Channel Reduction,Hassan Mehdi; Riku Klen; Ayse Kosal Bulbul; Suzanne Timmons,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2609.22105v1,OA_KW6_064.pdf,15ff0f4281553442f15ffd4832041436
OA_KW6_065,Continuous-Latent Predictive Modeling with Semantic Alignment for EEG-Language Foundation Models,Myeong-Ju Cho; Hye-Bin Shin; Seo-Hyun Lee; Seong-Whan Lee,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.11656v1,OA_KW6_065.pdf,79fd2611663ab06c11410fdd3e20878a
OA_KW6_066,"ZIPBrain: Can EEG Foundation Models Be Faster, Locally Deployable, but Accurate?",Lingwei Li; Yirong Kan; Peng Chen; Xu Cao,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.07033v1,OA_KW6_066.pdf,a57d413e48527edda7fcca7fda50444b
OA_KW6_067,SW-ProxyCE: Zero-Query Adversarial Transfer from Public EEG Encoders to Private Downstream Models,Linhua Cong; Dingkun Liu; Dongrui Wu,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.16931v1,OA_KW6_067.pdf,c3937761993ae36ac15116d393eb5920
OA_KW6_068,STEAM: A Spatio-TEmporal Alignment Mixture-of-Experts Model with Hierarchical Pre-training for EEG Decoding,Zhu Chen; Dingkun Liu; Yuheng Chen; Dongrui Wu,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.02070v2,OA_KW6_068.pdf,c653a535065665c520a255e22e9058f0
OA_KW6_069,Understanding and Correcting Low-Frequency Bias in EEG Foundation Model,Junjie Yu; Zihan Deng; Jianyu Zhang; Junrong Mu,2026,arXiv Preprints (Foundation Models & SSL Biosignals),10.48550/arXiv.2608.01898v1,OA_KW6_069.pdf,97c4f95b91be7781cfa6453ec47e2051
